date,vessel_id,vessel_name,vessel_type,capacity_ton,status,current_load_ton,port_location,eta_port,berthing_time_hours,demurrage_cost_usd,fuel_consumption_ton,distance_nm,utilization_pct,month,day_of_week,utilization_category,vessel_efficiency,loading_rate_tph,fuel_efficiency_nm_per_ton,port_congestion,status_priority,vessel_id_encoded,vessel_name_encoded,vessel_type_encoded,status_encoded,port_location_encoded,eta_port_encoded,utilization_category_encoded
2025-07-06,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,15151,Samarinda,2025-06-03,0.0,0,71.4,0,23.3,7,6,Low,53.980000000000004,15151.0,0.0,0,3,0,0,4,3,3,16,2
2025-07-07,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,59040,Tarakan,2025-07-08,0.0,0,29.7,1545,90.8,7,0,Full,94.47999999999999,59040.0,50.3257328990228,0,2,0,0,4,2,4,51,0
2025-07-08,VSL-001,MV Coal Carrier 1,Supramax,65000,Maintenance,0,Samarinda,2025-06-03,0.0,0,42.3,0,0.0,7,1,,40.0,0.0,0.0,0,0,0,0,4,4,3,16,4
2025-07-09,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Balikpapan,2025-06-03,12.2,46975,38.3,0,0.0,7,2,,2.332611659048993,0.0,0.0,0,1,0,0,4,0,0,16,4
2025-07-10,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,60578,Muara Jawa,2025-07-19,0.0,0,30.6,4593,93.2,7,3,Full,95.92,60578.0,145.34810126582278,0,2,0,0,4,2,2,62,0
2025-07-11,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,3987,Samarinda,2025-06-03,0.0,0,59.5,0,6.1,7,4,Low,43.66,3987.0,0.0,0,3,0,0,4,3,3,16,2
2025-07-12,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,4555,Samarinda,2025-07-15,0.0,0,58.2,1145,7.0,7,5,Low,44.2,4555.0,19.341216216216214,0,2,0,0,4,2,3,58,2
2025-07-13,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,14373,Muara Jawa,2025-06-03,0.0,0,49.2,0,22.1,7,6,Low,53.26,14373.0,0.0,0,3,0,0,4,3,2,16,2
2025-07-14,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Samarinda,2025-06-03,40.6,32352,54.6,0,0.0,7,0,,14.058215058936732,0.0,0.0,1,1,0,0,4,0,3,16,4
2025-07-15,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,29124,Tarakan,2025-07-18,0.0,0,54.3,3220,44.8,7,1,Low,66.88,29124.0,58.22784810126583,0,2,0,0,4,2,4,61,2
2025-07-16,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Tarakan,2025-06-03,0.0,0,76.4,0,0.0,7,2,,40.0,0.0,0.0,0,5,0,0,4,1,4,16,4
2025-07-17,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Muara Jawa,2025-06-03,43.8,32635,20.9,0,0.0,7,3,,13.831288589527704,0.0,0.0,1,1,0,0,4,0,2,16,4
2025-07-18,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Balikpapan,2025-06-03,31.9,49758,77.8,0,0.0,7,4,,0.10103439980755358,0.0,0.0,0,1,0,0,4,0,0,16,4
2025-07-19,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Muara Jawa,2025-06-03,25.9,6102,36.1,0,0.0,7,5,,35.10704835217705,0.0,0.0,0,1,0,0,4,0,2,16,4
2025-07-20,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,26641,Balikpapan,2025-07-26,0.0,0,61.8,1995,41.0,7,6,Low,64.6,26641.0,31.76751592356688,0,2,0,0,4,2,0,69,2
2025-07-21,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Banjarmasin,2025-06-03,0.0,0,56.9,0,0.0,7,0,,40.0,0.0,0.0,0,5,0,0,4,1,1,16,4
2025-07-22,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Banjarmasin,2025-06-03,21.1,10729,72.6,0,0.0,7,1,,31.396840670355225,0.0,0.0,0,1,0,0,4,0,1,16,4
2025-07-23,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Balikpapan,2025-06-03,0.0,0,28.2,0,0.0,7,2,,40.0,0.0,0.0,0,4,0,0,4,5,0,16,4
2025-07-24,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Muara Jawa,2025-06-03,0.0,0,37.8,0,0.0,7,3,,40.0,0.0,0.0,0,4,0,0,4,5,2,16,4
2025-07-25,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,50993,Balikpapan,2025-08-02,0.0,0,74.8,3050,78.5,7,4,High,87.1,50993.0,40.23746701846966,0,2,0,0,4,2,0,76,1
2025-07-26,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,4780,Tarakan,2025-07-27,0.0,0,24.3,4595,7.4,7,5,Low,44.44,4780.0,181.62055335968378,0,2,0,0,4,2,4,70,2
2025-07-27,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Samarinda,2025-06-03,0.0,0,40.3,0,0.0,7,6,,40.0,0.0,0.0,0,5,0,0,4,1,3,16,4
2025-07-28,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,13121,Samarinda,2025-06-03,0.0,0,47.9,0,20.2,7,0,Low,52.12,13121.0,0.0,0,3,0,0,4,3,3,16,2
2025-07-29,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,50300,Banjarmasin,2025-08-04,0.0,0,35.0,4877,77.4,7,1,High,86.44,50300.0,135.47222222222223,0,2,0,0,4,2,1,78,1
2025-07-30,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Samarinda,2025-06-03,0.0,0,27.6,0,0.0,7,2,,40.0,0.0,0.0,0,4,0,0,4,5,3,16,4
2025-07-31,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,19508,Tarakan,2025-08-05,0.0,0,47.4,4969,30.0,7,3,Low,58.0,19508.0,102.66528925619835,0,2,0,0,4,2,4,79,2
2025-08-01,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Tarakan,2025-06-03,0.0,0,44.7,0,0.0,8,4,,40.0,0.0,0.0,0,5,0,0,4,1,4,16,4
2025-08-02,VSL-001,MV Coal Carrier 1,Supramax,65000,Maintenance,0,Tarakan,2025-06-03,0.0,0,28.0,0,0.0,8,5,,40.0,0.0,0.0,0,0,0,0,4,4,4,16,4
2025-08-03,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Banjarmasin,2025-06-03,23.6,21136,43.9,0,0.0,8,6,,23.051880362440862,0.0,0.0,0,1,0,0,4,0,1,16,4
2025-08-04,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,37945,Banjarmasin,2025-08-09,0.0,0,31.1,2938,58.4,8,0,Medium,75.03999999999999,37945.0,91.52647975077882,0,2,0,0,4,2,1,83,3
2025-08-05,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,34699,Muara Jawa,2025-08-06,0.0,0,30.4,612,53.4,8,1,Medium,72.03999999999999,34699.0,19.49044585987261,0,2,0,0,4,2,2,80,3
2025-08-06,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,46175,Balikpapan,2025-08-14,0.0,0,76.1,3443,71.0,8,2,Medium,82.6,46175.0,44.65629053177692,0,2,0,0,4,2,0,88,3
2025-08-07,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,29375,Muara Jawa,2025-08-13,0.0,0,63.8,3247,45.2,8,3,Low,67.12,29375.0,50.108024691358025,0,2,0,0,4,2,2,87,2
2025-08-08,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,3506,Muara Jawa,2025-08-14,0.0,0,20.9,4145,5.4,8,4,Low,43.24,3506.0,189.26940639269407,0,2,0,0,4,2,2,88,2
2025-08-09,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Balikpapan,2025-06-03,0.0,0,38.7,0,0.0,8,5,,40.0,0.0,0.0,0,5,0,0,4,1,0,16,4
2025-08-10,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Muara Jawa,2025-06-03,29.1,43225,65.8,0,0.0,8,6,,5.3395878437976085,0.0,0.0,0,1,0,0,4,0,2,16,4
2025-08-11,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Tarakan,2025-06-03,0.0,0,30.4,0,0.0,8,0,,40.0,0.0,0.0,0,4,0,0,4,5,4,16,4
2025-08-12,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,26646,Banjarmasin,2025-08-18,0.0,0,58.1,2949,41.0,8,1,Low,64.6,26646.0,49.898477157360404,0,2,0,0,4,2,1,92,2
2025-08-13,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,23289,Samarinda,2025-06-03,0.0,0,50.2,0,35.8,8,2,Low,61.48,23289.0,0.0,0,3,0,0,4,3,3,16,2
2025-08-14,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Muara Jawa,2025-06-03,36.6,27663,24.2,0,0.0,8,3,,17.8181380803464,0.0,0.0,1,1,0,0,4,0,2,16,4
2025-08-15,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,29168,Tarakan,2025-08-19,0.0,0,54.5,3846,44.9,8,4,Low,66.94,29168.0,69.29729729729729,0,2,0,0,4,2,4,93,2
2025-08-16,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,4000,Muara Jawa,2025-08-19,0.0,0,69.2,4013,6.2,8,5,Low,43.72,4000.0,57.16524216524216,0,2,0,0,4,2,2,93,2
2025-08-17,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,20764,Muara Jawa,2025-06-03,0.0,0,32.9,0,31.9,8,6,Low,59.14,20764.0,0.0,0,3,0,0,4,3,2,16,2
2025-08-18,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,31996,Samarinda,2025-06-03,0.0,0,57.1,0,49.2,8,0,Low,69.52,31996.0,0.0,0,3,0,0,4,3,3,16,2
2025-08-19,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,28761,Muara Jawa,2025-06-03,0.0,0,70.7,0,44.2,8,1,Low,66.52,28761.0,0.0,0,3,0,0,4,3,2,16,2
2025-08-20,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Banjarmasin,2025-06-03,0.0,0,35.6,0,0.0,8,2,,40.0,0.0,0.0,0,5,0,0,4,1,1,16,4
2025-08-21,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,17209,Muara Jawa,2025-08-23,0.0,0,57.7,512,26.5,8,3,Low,55.9,17209.0,8.722316865417376,0,2,0,0,4,2,2,97,2
2025-08-22,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Balikpapan,2025-06-03,0.0,0,68.2,0,0.0,8,4,,40.0,0.0,0.0,0,5,0,0,4,1,0,16,4
2025-08-23,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,44425,Muara Jawa,2025-06-03,0.0,0,65.0,0,68.3,8,5,Medium,80.97999999999999,44425.0,0.0,0,3,0,0,4,3,2,16,3
2025-08-24,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Balikpapan,2025-06-03,0.0,0,63.9,0,0.0,8,6,,40.0,0.0,0.0,0,4,0,0,4,5,0,16,4
2025-08-25,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Balikpapan,2025-06-03,0.0,0,66.6,0,0.0,8,0,,40.0,0.0,0.0,0,5,0,0,4,1,0,16,4
2025-08-26,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,7357,Muara Jawa,2025-06-03,0.0,0,34.3,0,11.3,8,1,Low,46.78,7357.0,0.0,0,3,0,0,4,3,2,16,2
2025-08-27,VSL-001,MV Coal Carrier 1,Supramax,65000,Maintenance,0,Balikpapan,2025-06-03,0.0,0,34.3,0,0.0,8,2,,40.0,0.0,0.0,0,0,0,0,4,4,0,16,4
2025-08-28,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,44912,Tarakan,2025-06-03,0.0,0,69.6,0,69.1,8,3,Medium,81.46,44912.0,0.0,0,3,0,0,4,3,4,16,3
2025-08-29,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,698,Samarinda,2025-06-03,0.0,0,43.4,0,1.1,8,4,Low,40.66,698.0,0.0,0,3,0,0,4,3,3,16,2
2025-08-30,VSL-001,MV Coal Carrier 1,Supramax,65000,Available,0,Balikpapan,2025-06-03,0.0,0,70.8,0,0.0,8,5,,40.0,0.0,0.0,0,5,0,0,4,1,0,16,4
2025-08-31,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,59163,Tarakan,2025-06-03,0.0,0,54.4,0,91.0,8,6,Full,94.6,59163.0,0.0,0,3,0,0,4,3,4,16,0
2025-09-01,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,21364,Muara Jawa,2025-09-04,0.0,0,56.1,3038,32.9,9,0,Low,59.739999999999995,21364.0,53.20490367775832,0,2,0,0,4,2,2,109,2
2025-09-02,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,52788,Balikpapan,2025-06-03,0.0,0,26.8,0,81.2,9,1,High,88.72,52788.0,0.0,0,3,0,0,4,3,0,16,1
2025-09-03,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Banjarmasin,2025-06-03,14.1,37497,46.5,0,0.0,9,2,,9.932643733461632,0.0,0.0,0,1,0,0,4,0,1,16,4
2025-09-04,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Samarinda,2025-06-03,37.4,37614,28.6,0,0.0,9,3,,9.838826076497472,0.0,0.0,1,1,0,0,4,0,3,16,4
2025-09-05,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Tarakan,2025-06-03,0.0,0,72.0,0,0.0,9,4,,40.0,0.0,0.0,0,4,0,0,4,5,4,16,4
2025-09-06,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Muara Jawa,2025-06-03,0.0,0,33.4,0,0.0,9,5,,40.0,0.0,0.0,0,4,0,0,4,5,2,16,4
2025-09-07,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,23322,Banjarmasin,2025-06-03,0.0,0,28.8,0,35.9,9,6,Low,61.54,23322.0,0.0,0,3,0,0,4,3,1,16,2
2025-09-08,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,54693,Samarinda,2025-09-16,0.0,0,42.5,1956,84.1,9,0,High,90.46,54693.0,44.96551724137931,0,2,0,0,4,2,3,121,1
2025-09-09,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Balikpapan,2025-06-03,46.1,37080,55.5,0,0.0,9,1,,10.267019485205676,0.0,0.0,1,1,0,0,4,0,0,16,4
2025-09-10,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,23803,Samarinda,2025-06-03,0.0,0,66.6,0,36.6,9,2,Low,61.96,23803.0,0.0,0,3,0,0,4,3,3,16,2
2025-09-11,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,53338,Banjarmasin,2025-09-14,0.0,0,26.7,3622,82.1,9,3,High,89.25999999999999,53338.0,130.75812274368232,0,2,0,0,4,2,1,119,1
2025-09-12,VSL-001,MV Coal Carrier 1,Supramax,65000,Loading,21233,Tarakan,2025-06-03,0.0,0,54.3,0,32.7,9,4,Low,59.620000000000005,21233.0,0.0,0,3,0,0,4,3,4,16,2
2025-09-13,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Muara Jawa,2025-06-03,0.0,0,69.4,0,0.0,9,5,,40.0,0.0,0.0,0,4,0,0,4,5,2,16,4
2025-09-14,VSL-001,MV Coal Carrier 1,Supramax,65000,Scheduled,0,Samarinda,2025-06-03,0.0,0,55.0,0,0.0,9,6,,40.0,0.0,0.0,0,4,0,0,4,5,3,16,4
2025-09-15,VSL-001,MV Coal Carrier 1,Supramax,65000,At Port,0,Tarakan,2025-06-03,22.3,33591,51.7,0,0.0,9,0,,13.06471012749579,0.0,0.0,0,1,0,0,4,0,4,16,4
2025-09-16,VSL-001,MV Coal Carrier 1,Supramax,65000,In Transit,2105,Tarakan,2025-09-21,0.0,0,22.6,3384,3.2,9,1,Low,41.92,2105.0,143.38983050847457,0,2,0,0,4,2,4,126,2
