date,vessel_id,vessel_name,vessel_type,capacity_ton,status,current_load_ton,port_location,eta_port,berthing_time_hours,demurrage_cost_usd,fuel_consumption_ton,distance_nm,utilization_pct,month,day_of_week,utilization_category,vessel_efficiency,loading_rate_tph,fuel_efficiency_nm_per_ton,port_congestion,status_priority,vessel_id_encoded,vessel_name_encoded,vessel_type_encoded,status_encoded,port_location_encoded,eta_port_encoded,utilization_category_encoded
2025-05-26,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,-0.0706990277219085,Samarinda,2025-05-27,0.0,-0.3529948633464609,-0.8487442255476713,2.6008850524324525,0.11975370103654531,5,0,Low,0.23188815503914054,-0.0706990277219085,2.9999240181270657,-0.23119901553306169,-0.5769012422467917,0,0,4,2,3,9,2
2025-05-27,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Banjarmasin,2025-06-03,0.0,-0.3529948633464609,0.2272631762303809,-0.484496242427788,-0.714883548457204,5,1,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,1,16,4
2025-05-28,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Banjarmasin,2025-06-03,0.0,-0.3529948633464609,0.9446014440824155,-0.484496242427788,-0.714883548457204,5,2,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,1,16,4
2025-05-29,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Tarakan,2025-06-03,33.5,0.7450203786007789,-1.4388128007162804,-0.484496242427788,-0.714883548457204,5,3,,-0.8770973696566584,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,4,16,4
2025-05-30,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Balikpapan,2025-06-03,0.0,-0.3529948633464609,1.5925198795616728,-0.484496242427788,-0.714883548457204,5,4,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,0,16,4
2025-05-31,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Muara Jawa,2025-06-03,0.0,-0.3529948633464609,-0.802464337299153,-0.484496242427788,-0.714883548457204,5,5,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,2,16,4
2025-06-01,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Banjarmasin,2025-06-03,0.0,-0.3529948633464609,1.6040898516238027,-0.484496242427788,-0.714883548457204,6,6,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,1,16,4
2025-06-02,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,1.2888628551441528,Balikpapan,2025-06-03,0.0,-0.3529948633464609,-1.6933521860831315,1.5515654183901992,2.098855663851269,6,0,High,1.8921402960848703,1.2888628551441528,3.343444454101737,-0.23119901553306169,-0.5769012422467917,0,0,4,2,0,16,1
2025-06-03,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Tarakan,2025-06-03,0.0,-0.3529948633464609,-0.7272595188953105,-0.484496242427788,-0.714883548457204,6,1,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,4,16,4
2025-06-04,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Samarinda,2025-06-03,0.0,-0.3529948633464609,0.7074170168087588,-0.484496242427788,-0.714883548457204,6,2,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,3,16,4
2025-06-05,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Balikpapan,2025-06-03,0.0,-0.3529948633464609,0.36031785494487106,-0.484496242427788,-0.714883548457204,6,3,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,0,16,4
2025-06-06,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Banjarmasin,2025-06-03,16.2,1.8043851793974568,1.2049258154803313,-0.484496242427788,-0.714883548457204,6,4,,-1.2715222506213246,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,1,16,4
2025-06-07,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,1.1023605244316466,Muara Jawa,2025-06-10,0.0,-0.3529948633464609,0.30825298066528795,1.7080094365564986,1.8269662568192149,6,5,High,1.6640545386888117,1.1023605244316466,1.1387939930087807,-0.23119901553306169,-0.5769012422467917,0,0,4,2,2,23,1
2025-06-08,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Balikpapan,2025-06-03,25.8,0.4190619783556472,0.7305569609330179,-0.484496242427788,-0.714883548457204,6,6,,-0.7557358678213768,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,0,16,4
2025-06-09,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Banjarmasin,2025-06-03,0.0,-0.3529948633464609,-0.9239490439515134,-0.484496242427788,-0.714883548457204,6,0,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,1,16,4
2025-06-10,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,1.2305056742437879,Balikpapan,2025-06-03,0.0,-0.3529948633464609,0.7189869888708885,-0.484496242427788,2.0134950360621358,6,1,High,1.8205319769023867,1.2305056742437879,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,0,16,1
2025-06-11,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Tarakan,2025-06-03,0.0,-0.3529948633464609,-1.3693929683435029,-0.484496242427788,-0.714883548457204,6,2,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,4,16,4
2025-06-12,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Balikpapan,2025-06-03,0.0,-0.3529948633464609,-0.6520547004914683,-0.484496242427788,-0.714883548457204,6,3,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,0,16,4
2025-06-13,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,-0.03787729138504806,Muara Jawa,2025-06-20,0.0,-0.3529948633464609,0.35453286891380614,0.8723694370828496,0.16717627203050833,6,4,Low,0.27167055458496464,-0.03787729138504806,0.5231583234632124,-0.23119901553306169,-0.5769012422467917,0,0,4,2,2,33,2
2025-06-14,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Tarakan,2025-06-03,0.0,-0.3529948633464609,1.5288850332199595,-0.484496242427788,-0.714883548457204,6,5,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,4,16,4
2025-06-15,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,0.2879670136537019,Tarakan,2025-06-17,0.0,-0.3529948633464609,0.4239527012865839,0.8105549713683605,0.6414019819701386,6,6,Low,0.6694945500432065,0.2879670136537019,0.4603792422360571,-0.23119901553306169,-0.5769012422467917,0,0,4,2,4,30,2
2025-06-16,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,-0.5542013065905675,Tarakan,2025-06-20,0.0,-0.3529948633464609,1.3553354522880157,0.8609223138023887,-0.5852618544070384,6,0,Low,-0.35954351820877883,-0.5542013065905675,0.2933975619841136,-0.23119901553306169,-0.5769012422467917,0,0,4,2,4,33,2
2025-06-17,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Tarakan,2025-06-03,0.0,-0.3529948633464609,-0.5074300497148484,-0.484496242427788,-0.714883548457204,6,1,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,4,16,4
2025-06-18,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Balikpapan,2025-06-03,20.2,0.29206767171808706,1.0950110808901,-0.484496242427788,-0.714883548457204,6,2,,-0.7084530864404577,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,0,16,4
2025-06-19,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Samarinda,2025-06-03,27.0,0.003807731314390016,0.6553521425291757,-0.484496242427788,-0.714883548457204,6,3,,-0.6011275526912656,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,3,16,4
2025-06-20,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,-0.6220507208103503,Samarinda,2025-06-03,0.0,-0.3529948633464609,-0.6231297703361443,-0.484496242427788,-0.6832685011278954,6,4,Low,-0.4417604772701488,-0.6220507208103503,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,3,16,2
2025-06-21,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,-0.5337796356111156,Tarakan,2025-06-22,0.0,-0.3529948633464609,-1.5198026051511877,3.147294403686455,-0.5536468070777297,6,5,Low,-0.33302191851156265,-0.5337796356111156,5.49594535829709,-0.23119901553306169,-0.5769012422467917,0,0,4,2,4,35,2
2025-06-22,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,0.8403548308016576,Samarinda,2025-06-03,0.0,-0.3529948633464609,-0.6983345887399864,-0.484496242427788,1.4444241841345793,6,6,Medium,1.3431431823524957,0.8403548308016576,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,3,16,3
2025-06-23,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,0.2825524298588227,Samarinda,2025-06-03,0.0,-0.3529948633464609,0.3718878270070008,-0.484496242427788,0.6350789725042771,6,0,Low,0.6641902301037637,0.2825524298588227,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,3,16,2
2025-06-24,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,0.9148220696596262,Muara Jawa,2025-06-25,0.0,-0.3529948633464609,0.45866261747297277,0.8945005420917408,1.5550768497871599,6,1,Medium,1.4359687812927526,0.9148220696596262,0.5090448339386711,-0.23119901553306169,-0.5769012422467917,0,0,4,2,2,38,3
2025-06-25,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,0.23512468661849176,Tarakan,2025-07-02,0.0,-0.3529948633464609,0.8983215558338973,2.8107489792409033,0.5655258683797979,6,2,Low,0.6058427107698879,0.23512468661849176,1.5701785219642836,-0.23119901553306169,-0.5769012422467917,0,0,4,2,4,45,2
2025-06-26,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,0.5977012607348483,Muara Jawa,2025-06-03,0.0,-0.3529948633464609,0.447092645410843,-0.484496242427788,1.093497158779253,6,3,Medium,1.048753425713397,0.5977012607348483,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,2,16,3
2025-06-27,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,0.5155132264656631,Balikpapan,2025-07-06,0.0,-0.3529948633464609,-0.6346997423982736,2.1842097650236743,0.97335997892788,6,4,Medium,0.9479713468639757,0.5155132264656631,2.261372227801571,-0.23119901553306169,-0.5769012422467917,0,0,4,2,0,49,3
2025-06-28,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Maintenance,-0.6442104063412449,Samarinda,2025-06-03,0.0,-0.3529948633464609,0.30825298066528795,-0.484496242427788,-0.714883548457204,6,5,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.9231703468849402,0,0,4,4,3,16,4
2025-06-29,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Maintenance,-0.6442104063412449,Samarinda,2025-06-03,0.0,-0.3529948633464609,0.7247719749019534,-0.484496242427788,-0.714883548457204,6,6,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.9231703468849402,0,0,4,4,3,16,4
2025-06-30,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Tarakan,2025-06-03,0.0,-0.3529948633464609,0.4933725336593616,-0.484496242427788,-0.714883548457204,6,0,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,4,16,4
2025-07-01,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Balikpapan,2025-06-03,0.0,-0.3529948633464609,-0.36280539893822844,-0.484496242427788,-0.714883548457204,7,1,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,0,16,4
2025-07-02,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,-0.27284348939739933,Balikpapan,2025-07-11,0.0,-0.3529948633464609,-1.3520380102503085,2.6909357555720788,-0.17426623912602543,7,2,Low,-0.014762722144969348,-0.27284348939739933,4.208500497945717,-0.23119901553306169,-0.5769012422467917,0,0,4,2,0,54,2
2025-07-03,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Maintenance,-0.6442104063412449,Tarakan,2025-06-03,0.0,-0.3529948633464609,-1.137993527100911,-0.484496242427788,-0.714883548457204,7,3,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.9231703468849402,0,0,4,4,4,16,4
2025-07-04,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Tarakan,2025-06-03,31.1,-0.15793389310631056,1.7140045862140332,-0.484496242427788,-0.714883548457204,7,4,,-0.5409075785037237,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,4,16,4
2025-07-05,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Muara Jawa,2025-06-03,44.4,0.3284333577267437,-0.5710648960565612,-0.484496242427788,-0.714883548457204,7,5,,-0.7219928334325951,-0.6442104063412449,-0.4406700098967054,4.325277932928738,-1.250035794565866,0,0,4,0,2,16,4
2025-07-06,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,-0.137813128093004,Samarinda,2025-06-03,0.0,-0.3529948633464609,1.228065759604591,-0.484496242427788,0.021747054315688435,7,6,Low,0.14967119597777087,-0.137813128093004,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,3,16,2
2025-07-07,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,1.3291045766814034,Tarakan,2025-07-08,0.0,-0.3529948633464609,-1.1842734153494294,0.6945574554596896,2.155762749044025,7,0,Full,1.9398791755398586,1.3291045766814034,1.1225232096167377,-0.23119901553306169,-0.5769012422467917,0,0,4,2,4,51,0
2025-07-08,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Maintenance,-0.6442104063412449,Samarinda,2025-06-03,0.0,-0.3529948633464609,-0.4553651754352653,-0.484496242427788,-0.714883548457204,7,1,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.9231703468849402,0,0,4,4,3,16,4
2025-07-09,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Balikpapan,2025-06-03,12.2,4.118937336278265,-0.6867646166778572,-0.484496242427788,-0.714883548457204,7,2,,-2.1332810689978454,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,0,16,4
2025-07-10,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,1.3805096993759973,Muara Jawa,2025-07-19,0.0,-0.3529948633464609,-1.1322085410698461,3.020612906049354,2.231638862634366,7,3,Full,2.003531014813178,1.3805096993759973,4.0740613865396345,-0.23119901553306169,-0.5769012422467917,0,0,4,2,2,62,0
2025-07-11,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,-0.5109514829450509,Samarinda,2025-06-03,0.0,-0.3529948633464609,0.5396524219078798,-0.484496242427788,-0.522031759748421,7,4,Low,-0.30650031881434675,-0.5109514829450509,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,3,16,2
2025-07-12,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,-0.49196701630621503,Samarinda,2025-07-15,0.0,-0.3529948633464609,0.46444760350403763,0.3893008346473977,-0.49357821715204325,7,5,Low,-0.28263087908685197,-0.49196701630621503,0.16009735710809198,-0.23119901553306169,-0.5769012422467917,0,0,4,2,3,58,2
2025-07-13,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,-0.16381649965112766,Muara Jawa,2025-06-03,0.0,-0.3529948633464609,-0.05620113929179402,-0.484496242427788,-0.01619100247948197,7,6,Low,0.11784527634111128,-0.16381649965112766,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,2,16,2
2025-07-14,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Samarinda,2025-06-03,40.6,2.7268550679416528,0.2561881063857049,-0.484496242427788,-0.714883548457204,7,0,,-1.6149781363642806,-0.6442104063412449,-0.4406700098967054,4.325277932928738,-1.250035794565866,0,0,4,0,3,16,4
2025-07-15,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,0.32921143589370777,Tarakan,2025-07-18,0.0,-0.3529948633464609,0.23883314829251026,1.972819555111162,0.7014705718958252,7,1,Low,0.7198855894679171,0.32921143589370777,1.3679748343103195,-0.23119901553306169,-0.5769012422467917,0,0,4,2,4,61,2
2025-07-16,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Tarakan,2025-06-03,0.0,-0.3529948633464609,1.5173150611578305,-0.484496242427788,-0.714883548457204,7,2,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,4,16,4
2025-07-17,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Muara Jawa,2025-06-03,43.8,2.7537961389899506,-1.6933521860831315,-0.484496242427788,-0.714883548457204,7,3,,-1.6250088913348952,-0.6442104063412449,-0.4406700098967054,4.325277932928738,-1.250035794565866,0,0,4,0,2,16,4
2025-07-18,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Balikpapan,2025-06-03,31.9,4.383873734608347,1.5983048655927372,-0.484496242427788,-0.714883548457204,7,4,,-2.231922733602866,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,0,16,4
2025-07-19,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Muara Jawa,2025-06-03,25.9,0.22790413148291805,-0.8140343093612824,-0.484496242427788,-0.714883548457204,7,5,,-0.684563585203022,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,2,16,4
2025-07-20,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,0.2462212410623183,Balikpapan,2025-07-26,0.0,-0.3529948633464609,0.6727071006223699,1.0379711538735181,0.5813333920444522,7,6,Low,0.6191035106184959,0.2462212410623183,0.5460769807957904,-0.23119901553306169,-0.5769012422467917,0,0,4,2,0,69,2
2025-07-21,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Banjarmasin,2025-06-03,0.0,-0.3529948633464609,0.389242785100195,-0.484496242427788,-0.714883548457204,7,0,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,1,16,4
2025-07-22,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,At Port,-0.6442104063412449,Banjarmasin,2025-06-03,21.1,0.6683858832160444,1.2974855919773678,-0.484496242427788,-0.714883548457204,7,1,,-0.8485646567543799,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,-1.250035794565866,0,0,4,0,1,16,4
2025-07-23,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Balikpapan,2025-06-03,0.0,-0.3529948633464609,-1.2710482058154013,-0.484496242427788,-0.714883548457204,7,2,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,0,16,4
2025-07-24,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Muara Jawa,2025-06-03,0.0,-0.3529948633464609,-0.7156895468331811,-0.484496242427788,-0.714883548457204,7,3,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,2,16,4
2025-07-25,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,1.0601468248456436,Balikpapan,2025-08-02,0.0,-0.3529948633464609,1.4247552846607934,1.8430854912659378,1.7668976668935281,7,4,High,1.6136634992641006,1.0601468248456436,0.8091664453392778,-0.23119901553306169,-0.5769012422467917,0,0,4,2,0,76,1
2025-07-26,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,-0.48444676103554946,Tarakan,2025-07-27,0.0,-0.3529948633464609,-1.4966626610269282,3.0221391891534153,-0.48093219822031974,7,5,Low,-0.27202223920796575,-0.48444676103554946,5.200738493895794,-0.23119901553306169,-0.5769012422467917,0,0,4,2,4,70,2
2025-07-27,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Available,-0.6442104063412449,Samarinda,2025-06-03,0.0,-0.3529948633464609,-0.5710648960565612,-0.484496242427788,-0.714883548457204,7,6,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,1.4425024147104308,0,0,4,1,3,16,4
2025-07-28,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Loading,-0.20566254231278677,Samarinda,2025-06-03,0.0,-0.3529948633464609,-0.13140595769563662,-0.484496242427788,-0.07625959240516855,7,0,Low,0.06745423691640061,-0.20566254231278677,-0.4406700098967054,-0.23119901553306169,0.09623331007228246,0,0,4,3,3,16,2
2025-07-29,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,In Transit,1.0369844386119937,Banjarmasin,2025-08-04,0.0,-0.3529948633464609,-0.8776691557029952,3.2373451068260812,1.7321211148312887,7,1,High,1.5844897395971629,1.0369844386119937,3.7673016779693285,-0.23119901553306169,-0.5769012422467917,0,0,4,2,1,78,1
2025-07-30,VSL-001,MV Coal Carrier 1,Supramax,-0.6087477255094396,Scheduled,-0.6442104063412449,Samarinda,2025-06-03,0.0,-0.3529948633464609,-1.30575812200179,-0.484496242427788,-0.714883548457204,7,2,,-0.46828207696736496,-0.6442104063412449,-0.4406700098967054,-0.23119901553306169,0.7693678623913567,0,0,4,5,3,16,4
