date,road_id,road_type,length_km,condition_status,average_speed_kmh,dust_level,gradient_pct,width_m,traffic_volume_trucks,maintenance_work,maintenance_priority,quality_score,safety_score,traffic_density,days_since_maintenance,maintenance_urgency,road_capacity,capacity_utilization,road_id_encoded,road_type_encoded,condition_status_encoded,dust_level_encoded,maintenance_work_encoded,high_priority
2025-06-01,RD-001,Ramp Road,4.08,Critical,12,Medium,-5.4,22.1,268,No,5,20,39.51100401606426,65.68627450980392,14.0,33.33333333333333,2.164032,150.0,0,2,0,2,0,1
2025-06-02,RD-001,Ramp Road,4.08,Critical,12,Low,-5.4,22.1,54,No,5,20,39.51100401606426,13.235294117647058,15.0,35.0,2.164032,150.0,0,2,0,1,0,1
2025-06-03,RD-001,Ramp Road,4.08,Critical,18,High,-5.4,22.1,64,No,5,20,39.51100401606426,15.686274509803921,16.0,36.66666666666667,3.2460480000000005,150.0,0,2,0,0,0,1
2025-06-04,RD-001,Ramp Road,4.08,Critical,16,Low,-5.4,22.1,101,No,5,20,39.51100401606426,24.754901960784313,17.0,38.33333333333333,2.885376,150.0,0,2,0,1,0,1
2025-06-05,RD-001,Ramp Road,4.08,Critical,16,Low,-5.4,22.1,192,No,5,20,39.51100401606426,47.05882352941176,18.0,40.0,2.885376,150.0,0,2,0,1,0,1
2025-06-06,RD-001,Ramp Road,4.08,Critical,28,Medium,-5.4,22.1,77,No,5,20,39.51100401606426,18.872549019607842,19.0,41.666666666666664,5.049408000000001,150.0,0,2,0,2,0,1
2025-06-07,RD-001,Ramp Road,4.08,Critical,15,Medium,-5.4,22.1,239,No,5,20,39.51100401606426,58.57843137254902,20.0,43.33333333333333,2.7050400000000003,150.0,0,2,0,2,0,1
2025-06-08,RD-001,Ramp Road,4.08,Critical,16,Medium,-5.4,22.1,274,No,5,20,39.51100401606426,67.15686274509804,21.0,45.0,2.885376,150.0,0,2,0,2,0,1
2025-06-09,RD-001,Ramp Road,4.08,Critical,22,Low,-5.4,22.1,52,Yes,5,20,39.51100401606426,12.745098039215685,0.0,10.0,3.9673920000000003,150.0,0,2,0,1,1,1
2025-06-10,RD-001,Ramp Road,4.08,Critical,14,Low,-5.4,22.1,100,No,5,20,39.51100401606426,24.509803921568626,1.0,11.666666666666666,2.5247040000000003,150.0,0,2,0,1,0,1
2025-06-11,RD-001,Ramp Road,4.08,Critical,18,Low,-5.4,22.1,111,No,5,20,39.51100401606426,27.205882352941178,2.0,13.333333333333334,3.2460480000000005,150.0,0,2,0,1,0,1
2025-06-12,RD-001,Ramp Road,4.08,Critical,11,High,-5.4,22.1,162,No,5,20,39.51100401606426,39.705882352941174,3.0,15.0,1.9836960000000001,150.0,0,2,0,0,0,1
2025-06-13,RD-001,Ramp Road,4.08,Critical,11,Medium,-5.4,22.1,269,No,5,20,39.51100401606426,65.93137254901961,4.0,16.666666666666668,1.9836960000000001,150.0,0,2,0,2,0,1
2025-06-14,RD-001,Ramp Road,4.08,Critical,28,Medium,-5.4,22.1,179,No,5,20,39.51100401606426,43.872549019607845,5.0,18.333333333333332,5.049408000000001,150.0,0,2,0,2,0,1
2025-06-15,RD-001,Ramp Road,4.08,Critical,13,High,-5.4,22.1,252,No,5,20,39.51100401606426,61.76470588235294,6.0,20.0,2.3443680000000002,150.0,0,2,0,0,0,1
2025-06-16,RD-001,Ramp Road,4.08,Critical,14,Medium,-5.4,22.1,247,No,5,20,39.51100401606426,60.53921568627451,7.0,21.666666666666664,2.5247040000000003,150.0,0,2,0,2,0,1
2025-06-17,RD-001,Ramp Road,4.08,Critical,18,High,-5.4,22.1,119,No,5,20,39.51100401606426,29.166666666666668,8.0,23.333333333333336,3.2460480000000005,150.0,0,2,0,0,0,1
2025-06-18,RD-001,Ramp Road,4.08,Critical,13,High,-5.4,22.1,139,No,5,20,39.51100401606426,34.068627450980394,9.0,25.0,2.3443680000000002,150.0,0,2,0,0,0,1
2025-06-19,RD-001,Ramp Road,4.08,Critical,29,Low,-5.4,22.1,210,No,5,20,39.51100401606426,51.470588235294116,10.0,26.666666666666664,5.229744,150.0,0,2,0,1,0,1
2025-06-20,RD-001,Ramp Road,4.08,Critical,20,Low,-5.4,22.1,266,No,5,20,39.51100401606426,65.19607843137254,11.0,28.333333333333332,3.60672,150.0,0,2,0,1,0,1
2025-06-21,RD-001,Ramp Road,4.08,Critical,16,Medium,-5.4,22.1,161,No,5,20,39.51100401606426,39.46078431372549,12.0,30.0,2.885376,150.0,0,2,0,2,0,1
2025-06-22,RD-001,Ramp Road,4.08,Critical,25,Medium,-5.4,22.1,189,No,5,20,39.51100401606426,46.3235294117647,13.0,31.666666666666668,4.5084,150.0,0,2,0,2,0,1
2025-06-23,RD-001,Ramp Road,4.08,Critical,18,High,-5.4,22.1,196,No,5,20,39.51100401606426,48.03921568627451,14.0,33.33333333333333,3.2460480000000005,150.0,0,2,0,0,0,1
2025-06-24,RD-001,Ramp Road,4.08,Critical,10,High,-5.4,22.1,162,No,5,20,39.51100401606426,39.705882352941174,15.0,35.0,1.80336,150.0,0,2,0,0,0,1
2025-06-25,RD-001,Ramp Road,4.08,Critical,12,Medium,-5.4,22.1,266,No,5,20,39.51100401606426,65.19607843137254,16.0,36.66666666666667,2.164032,150.0,0,2,0,2,0,1
2025-06-26,RD-001,Ramp Road,4.08,Excellent,32,Medium,-5.4,22.1,103,No,1,100,79.51100401606426,25.245098039215687,17.0,78.33333333333333,28.85376,150.0,0,2,1,2,0,0
2025-06-27,RD-001,Ramp Road,4.08,Excellent,18,Low,-5.4,22.1,191,No,1,100,79.51100401606426,46.81372549019608,18.0,80.0,16.230240000000002,150.0,0,2,1,1,0,0
2025-06-28,RD-001,Ramp Road,4.08,Excellent,21,High,-5.4,22.1,194,No,1,100,79.51100401606426,47.549019607843135,19.0,81.66666666666666,18.935280000000002,150.0,0,2,1,0,0,0
2025-06-29,RD-001,Ramp Road,4.08,Excellent,36,High,-5.4,22.1,71,No,1,100,79.51100401606426,17.401960784313726,20.0,83.33333333333333,32.460480000000004,150.0,0,2,1,0,0,0
2025-06-30,RD-001,Ramp Road,4.08,Excellent,22,High,-5.4,22.1,76,No,1,100,79.51100401606426,18.627450980392158,21.0,85.0,19.83696,150.0,0,2,1,0,0,0
2025-07-01,RD-001,Ramp Road,4.08,Excellent,47,Low,-5.4,22.1,110,No,1,100,79.51100401606426,26.96078431372549,22.0,86.66666666666666,42.37896,150.0,0,2,1,1,0,0
2025-07-02,RD-001,Ramp Road,4.08,Excellent,31,Medium,-5.4,22.1,270,No,1,100,79.51100401606426,66.17647058823529,23.0,88.33333333333334,27.952080000000002,150.0,0,2,1,2,0,0
2025-07-03,RD-001,Ramp Road,4.08,Excellent,51,Low,-5.4,22.1,290,No,1,100,79.51100401606426,71.07843137254902,24.0,90.0,45.98568,150.0,0,2,1,1,0,0
2025-07-04,RD-001,Ramp Road,4.08,Excellent,35,High,-5.4,22.1,210,No,1,100,79.51100401606426,51.470588235294116,25.0,91.66666666666667,31.558800000000005,150.0,0,2,1,0,0,0
2025-07-05,RD-001,Ramp Road,4.08,Excellent,45,Medium,-5.4,22.1,107,No,1,100,79.51100401606426,26.225490196078432,26.0,93.33333333333334,40.5756,150.0,0,2,1,2,0,0
2025-07-06,RD-001,Ramp Road,4.08,Excellent,36,High,-5.4,22.1,243,No,1,100,79.51100401606426,59.55882352941176,27.0,95.0,32.460480000000004,150.0,0,2,1,0,0,0
2025-07-07,RD-001,Ramp Road,4.08,Excellent,54,Low,-5.4,22.1,186,No,1,100,79.51100401606426,45.588235294117645,28.0,96.66666666666666,48.69072,150.0,0,2,1,1,0,0
2025-07-08,RD-001,Ramp Road,4.08,Excellent,40,High,-5.4,22.1,99,No,1,100,79.51100401606426,24.264705882352942,29.0,98.33333333333334,36.0672,150.0,0,2,1,0,0,0
2025-07-09,RD-001,Ramp Road,4.08,Excellent,50,Low,-5.4,22.1,69,No,1,100,79.51100401606426,16.91176470588235,30.0,100.0,45.084,149.72658623383387,0,2,1,1,0,0
2025-07-10,RD-001,Ramp Road,4.08,Excellent,26,High,-5.4,22.1,264,Yes,1,100,79.51100401606426,64.70588235294117,0.0,50.0,23.44368,150.0,0,2,1,0,1,0
2025-07-11,RD-001,Ramp Road,4.08,Excellent,36,High,-5.4,22.1,202,No,1,100,79.51100401606426,49.509803921568626,1.0,51.666666666666664,32.460480000000004,150.0,0,2,1,0,0,0
2025-07-12,RD-001,Ramp Road,4.08,Excellent,36,Low,-5.4,22.1,229,Yes,1,100,79.51100401606426,56.127450980392155,0.0,50.0,32.460480000000004,150.0,0,2,1,1,1,0
2025-07-13,RD-001,Ramp Road,4.08,Excellent,51,Low,-5.4,22.1,57,No,1,100,79.51100401606426,13.970588235294118,1.0,51.666666666666664,45.98568,121.31355766267508,0,2,1,1,0,0
2025-07-14,RD-001,Ramp Road,4.08,Excellent,18,Medium,-5.4,22.1,158,No,1,100,79.51100401606426,38.72549019607843,2.0,53.333333333333336,16.230240000000002,150.0,0,2,1,2,0,0
2025-07-15,RD-001,Ramp Road,4.08,Excellent,54,Low,-5.4,22.1,163,No,1,100,79.51100401606426,39.950980392156865,3.0,55.0,48.69072,150.0,0,2,1,1,0,0
2025-07-16,RD-001,Ramp Road,4.08,Excellent,33,Medium,-5.4,22.1,232,No,1,100,79.51100401606426,56.86274509803921,4.0,56.666666666666664,29.755440000000004,150.0,0,2,1,2,0,0
2025-07-17,RD-001,Ramp Road,4.08,Excellent,23,Low,-5.4,22.1,178,No,1,100,79.51100401606426,43.627450980392155,5.0,58.33333333333333,20.73864,150.0,0,2,1,1,0,0
2025-07-18,RD-001,Ramp Road,4.08,Excellent,39,Low,-5.4,22.1,166,No,1,100,79.51100401606426,40.68627450980392,6.0,60.0,35.16552,150.0,0,2,1,1,0,0
2025-07-19,RD-001,Ramp Road,4.08,Excellent,19,Medium,-5.4,22.1,142,No,1,100,79.51100401606426,34.80392156862745,7.0,61.666666666666664,17.13192,150.0,0,2,1,2,0,0
2025-07-20,RD-001,Ramp Road,4.08,Excellent,51,Medium,-5.4,22.1,234,No,1,100,79.51100401606426,57.35294117647059,8.0,63.333333333333336,45.98568,150.0,0,2,1,2,0,0
2025-07-21,RD-001,Ramp Road,4.08,Excellent,44,Medium,-5.4,22.1,239,No,1,100,79.51100401606426,58.57843137254902,9.0,65.0,39.67392,150.0,0,2,1,2,0,0
2025-07-22,RD-001,Ramp Road,4.08,Excellent,35,High,-5.4,22.1,149,No,1,100,79.51100401606426,36.51960784313725,10.0,66.66666666666666,31.558800000000005,150.0,0,2,1,0,0,0
2025-07-23,RD-001,Ramp Road,4.08,Excellent,24,Medium,-5.4,22.1,118,No,1,100,79.51100401606426,28.92156862745098,11.0,68.33333333333333,21.640320000000003,150.0,0,2,1,2,0,0
2025-07-24,RD-001,Ramp Road,4.08,Good,33,Medium,-5.4,22.1,145,No,2,80,69.51100401606426,35.53921568627451,12.0,60.0,23.804352000000005,150.0,0,2,3,2,0,0
2025-07-25,RD-001,Ramp Road,4.08,Good,38,High,-5.4,22.1,51,Yes,2,80,69.51100401606426,12.5,0.0,40.0,27.411072000000004,150.0,0,2,3,0,1,0
2025-07-26,RD-001,Ramp Road,4.08,Good,38,Medium,-5.4,22.1,212,No,2,80,69.51100401606426,51.96078431372549,1.0,41.666666666666664,27.411072000000004,150.0,0,2,3,2,0,0
2025-07-27,RD-001,Ramp Road,4.08,Good,51,High,-5.4,22.1,114,No,2,80,69.51100401606426,27.941176470588236,2.0,43.333333333333336,36.788544,150.0,0,2,3,0,0,0
2025-07-28,RD-001,Ramp Road,4.08,Good,27,High,-5.4,22.1,95,Yes,2,80,69.51100401606426,23.284313725490197,0.0,40.0,19.476288,150.0,0,2,3,0,1,0
2025-07-29,RD-001,Ramp Road,4.08,Good,31,Medium,-5.4,22.1,57,No,2,80,69.51100401606426,13.970588235294118,1.0,41.666666666666664,22.361664,150.0,0,2,3,2,0,0
2025-07-30,RD-001,Ramp Road,4.08,Good,55,High,-5.4,22.1,245,No,2,80,69.51100401606426,60.049019607843135,2.0,43.333333333333336,39.67392,150.0,0,2,3,0,0,0
2025-07-31,RD-001,Ramp Road,4.08,Good,50,Low,-5.4,22.1,70,No,2,80,69.51100401606426,17.15686274509804,3.0,45.0,36.0672,150.0,0,2,3,1,0,0
2025-08-01,RD-001,Ramp Road,4.08,Good,38,High,-5.4,22.1,226,No,2,80,69.51100401606426,55.3921568627451,4.0,46.666666666666664,27.411072000000004,150.0,0,2,3,0,0,0
2025-08-02,RD-001,Ramp Road,4.08,Good,46,High,-5.4,22.1,239,No,2,80,69.51100401606426,58.57843137254902,5.0,48.33333333333333,33.181824,150.0,0,2,3,0,0,0
2025-08-03,RD-001,Ramp Road,4.08,Good,37,Low,-5.4,22.1,148,No,2,80,69.51100401606426,36.27450980392157,6.0,50.0,26.689728000000006,150.0,0,2,3,1,0,0
2025-08-04,RD-001,Ramp Road,4.08,Good,39,Medium,-5.4,22.1,190,No,2,80,69.51100401606426,46.568627450980394,7.0,51.666666666666664,28.132416000000003,150.0,0,2,3,2,0,0
2025-08-05,RD-001,Ramp Road,4.08,Fair,55,High,-5.4,22.1,125,No,3,60,59.51100401606426,30.637254901960784,8.0,43.333333333333336,29.755440000000004,150.0,0,2,2,0,0,0
2025-08-06,RD-001,Ramp Road,4.08,Fair,33,Medium,-5.4,22.1,160,No,3,60,59.51100401606426,39.21568627450981,9.0,45.0,17.853264000000003,150.0,0,2,2,2,0,0
2025-08-07,RD-001,Ramp Road,4.08,Fair,35,Low,-5.4,22.1,200,No,3,60,59.51100401606426,49.01960784313725,10.0,46.666666666666664,18.935280000000002,150.0,0,2,2,1,0,0
2025-08-08,RD-001,Ramp Road,4.08,Fair,53,Medium,-5.4,22.1,272,No,3,60,59.51100401606426,66.66666666666667,11.0,48.33333333333333,28.673424000000004,150.0,0,2,2,2,0,0
2025-08-09,RD-001,Ramp Road,4.08,Fair,25,Medium,-5.4,22.1,288,No,3,60,59.51100401606426,70.58823529411765,12.0,50.0,13.5252,150.0,0,2,2,2,0,0
2025-08-10,RD-001,Ramp Road,4.08,Fair,52,High,-5.4,22.1,223,No,3,60,59.51100401606426,54.65686274509804,13.0,51.66666666666667,28.132416000000003,150.0,0,2,2,0,0,0
2025-08-11,RD-001,Ramp Road,4.08,Fair,16,Low,-5.4,22.1,78,No,3,60,59.51100401606426,19.11764705882353,14.0,53.33333333333333,8.656128,150.0,0,2,2,1,0,0
2025-08-12,RD-001,Ramp Road,4.08,Fair,15,Medium,-5.4,22.1,293,No,3,60,59.51100401606426,71.81372549019608,15.0,55.0,8.115120000000001,150.0,0,2,2,2,0,0
2025-08-13,RD-001,Ramp Road,4.08,Fair,50,Medium,-5.4,22.1,208,No,3,60,59.51100401606426,50.98039215686274,16.0,56.66666666666667,27.0504,150.0,0,2,2,2,0,0
2025-08-14,RD-001,Ramp Road,4.08,Fair,24,Medium,-5.4,22.1,68,No,3,60,59.51100401606426,16.666666666666668,17.0,58.33333333333333,12.984192000000002,150.0,0,2,2,2,0,0
2025-08-15,RD-001,Ramp Road,4.08,Poor,29,Low,-5.4,22.1,176,No,4,40,49.51100401606426,43.13725490196078,18.0,50.0,10.459488,150.0,0,2,4,1,0,1
2025-08-16,RD-001,Ramp Road,4.08,Poor,26,Low,-5.4,22.1,105,No,4,40,49.51100401606426,25.735294117647058,19.0,51.666666666666664,9.377472000000001,150.0,0,2,4,1,0,1
2025-08-17,RD-001,Ramp Road,4.08,Poor,22,Low,-5.4,22.1,110,No,4,40,49.51100401606426,26.96078431372549,20.0,53.33333333333333,7.9347840000000005,150.0,0,2,4,1,0,1
2025-08-18,RD-001,Ramp Road,4.08,Poor,14,High,-5.4,22.1,196,No,4,40,49.51100401606426,48.03921568627451,21.0,55.0,5.049408000000001,150.0,0,2,4,0,0,1
2025-08-19,RD-001,Ramp Road,4.08,Poor,23,High,-5.4,22.1,208,No,4,40,49.51100401606426,50.98039215686274,22.0,56.666666666666664,8.295456,150.0,0,2,4,0,0,1
2025-08-20,RD-001,Ramp Road,4.08,Poor,20,Medium,-5.4,22.1,273,No,4,40,49.51100401606426,66.91176470588235,23.0,58.333333333333336,7.21344,150.0,0,2,4,2,0,1
2025-08-21,RD-001,Ramp Road,4.08,Poor,17,Medium,-5.4,22.1,141,No,4,40,49.51100401606426,34.55882352941176,24.0,60.0,6.131423999999999,150.0,0,2,4,2,0,1
2025-08-22,RD-001,Ramp Road,4.08,Poor,14,Low,-5.4,22.1,277,No,4,40,49.51100401606426,67.8921568627451,25.0,61.66666666666667,5.049408000000001,150.0,0,2,4,1,0,1
2025-08-23,RD-001,Ramp Road,4.08,Poor,10,Low,-5.4,22.1,261,No,4,40,49.51100401606426,63.970588235294116,26.0,63.333333333333336,3.60672,150.0,0,2,4,1,0,1
2025-08-24,RD-001,Ramp Road,4.08,Poor,12,Low,-5.4,22.1,183,No,4,40,49.51100401606426,44.85294117647059,27.0,65.0,4.328064,150.0,0,2,4,1,0,1
2025-08-25,RD-001,Ramp Road,4.08,Poor,11,Medium,-5.4,22.1,105,No,4,40,49.51100401606426,25.735294117647058,28.0,66.66666666666666,3.9673920000000003,150.0,0,2,4,2,0,1
2025-08-26,RD-001,Ramp Road,4.08,Poor,10,Medium,-5.4,22.1,114,No,4,40,49.51100401606426,27.941176470588236,29.0,68.33333333333334,3.60672,150.0,0,2,4,2,0,1
2025-08-27,RD-001,Ramp Road,4.08,Poor,26,Low,-5.4,22.1,210,No,4,40,49.51100401606426,51.470588235294116,30.0,70.0,9.377472000000001,150.0,0,2,4,1,0,1
2025-08-28,RD-001,Ramp Road,4.08,Poor,25,High,-5.4,22.1,55,No,4,40,49.51100401606426,13.480392156862745,31.0,71.66666666666667,9.0168,150.0,0,2,4,0,0,1
2025-08-29,RD-001,Ramp Road,4.08,Poor,12,Low,-5.4,22.1,72,No,4,40,49.51100401606426,17.647058823529413,32.0,73.33333333333334,4.328064,150.0,0,2,4,1,0,1
2025-08-30,RD-001,Ramp Road,4.08,Poor,26,Low,-5.4,22.1,127,No,4,40,49.51100401606426,31.127450980392155,33.0,75.0,9.377472000000001,150.0,0,2,4,1,0,1
2025-08-31,RD-001,Ramp Road,4.08,Poor,13,Medium,-5.4,22.1,242,No,4,40,49.51100401606426,59.31372549019608,34.0,76.66666666666666,4.6887360000000005,150.0,0,2,4,2,0,1
2025-09-01,RD-001,Ramp Road,4.08,Poor,17,High,-5.4,22.1,203,No,4,40,49.51100401606426,49.754901960784316,35.0,78.33333333333334,6.131423999999999,150.0,0,2,4,0,0,1
2025-09-02,RD-001,Ramp Road,4.08,Poor,27,Low,-5.4,22.1,103,No,4,40,49.51100401606426,25.245098039215687,36.0,80.0,9.738144,150.0,0,2,4,1,0,1
2025-09-03,RD-001,Ramp Road,4.08,Poor,26,High,-5.4,22.1,96,No,4,40,49.51100401606426,23.52941176470588,37.0,81.66666666666667,9.377472000000001,150.0,0,2,4,0,0,1
2025-09-04,RD-001,Ramp Road,4.08,Poor,20,High,-5.4,22.1,152,No,4,40,49.51100401606426,37.254901960784316,38.0,83.33333333333333,7.21344,150.0,0,2,4,0,0,1
2025-09-05,RD-001,Ramp Road,4.08,Excellent,48,Medium,-5.4,22.1,79,No,1,100,79.51100401606426,19.362745098039216,39.0,100.0,43.280640000000005,150.0,0,2,1,2,0,0
2025-09-06,RD-001,Ramp Road,4.08,Excellent,52,Low,-5.4,22.1,265,No,1,100,79.51100401606426,64.95098039215686,40.0,100.0,46.88736,150.0,0,2,1,1,0,0
2025-09-07,RD-001,Ramp Road,4.08,Excellent,31,Low,-5.4,22.1,78,No,1,100,79.51100401606426,19.11764705882353,41.0,100.0,27.952080000000002,150.0,0,2,1,1,0,0
2025-09-08,RD-001,Ramp Road,4.08,Excellent,34,Low,-5.4,22.1,83,No,1,100,79.51100401606426,20.34313725490196,42.0,100.0,30.65712,150.0,0,2,1,1,0,0
2025-09-09,RD-001,Ramp Road,4.08,Excellent,57,High,-5.4,22.1,164,No,1,100,79.51100401606426,40.19607843137255,43.0,100.0,51.39576,150.0,0,2,1,0,0,0
2025-09-10,RD-001,Ramp Road,4.08,Excellent,25,Medium,-5.4,22.1,193,No,1,100,79.51100401606426,47.30392156862745,44.0,100.0,22.542,150.0,0,2,1,2,0,0
2025-09-11,RD-001,Ramp Road,4.08,Excellent,17,High,-5.4,22.1,204,No,1,100,79.51100401606426,50.0,45.0,100.0,15.32856,150.0,0,2,1,0,0,0
2025-09-12,RD-001,Ramp Road,4.08,Excellent,33,Low,-5.4,22.1,54,No,1,100,79.51100401606426,13.235294117647058,46.0,100.0,29.755440000000004,150.0,0,2,1,1,0,0
2025-09-13,RD-001,Ramp Road,4.08,Good,20,Low,-5.4,22.1,182,No,2,80,69.51100401606426,44.6078431372549,47.0,100.0,14.42688,150.0,0,2,3,1,0,0
2025-09-14,RD-001,Ramp Road,4.08,Good,28,Medium,-5.4,22.1,94,No,2,80,69.51100401606426,23.03921568627451,48.0,100.0,20.197632000000002,150.0,0,2,3,2,0,0
2025-09-15,RD-001,Ramp Road,4.08,Good,36,High,-5.4,22.1,105,No,2,80,69.51100401606426,25.735294117647058,49.0,100.0,25.968384000000004,150.0,0,2,3,0,0,0
2025-09-16,RD-001,Ramp Road,4.08,Good,40,Low,-5.4,22.1,57,No,2,80,69.51100401606426,13.970588235294118,50.0,100.0,28.85376,150.0,0,2,3,1,0,0
2025-09-17,RD-001,Ramp Road,4.08,Good,36,Medium,-5.4,22.1,267,No,2,80,69.51100401606426,65.44117647058823,51.0,100.0,25.968384000000004,150.0,0,2,3,2,0,0
2025-09-18,RD-001,Ramp Road,4.08,Good,40,Medium,-5.4,22.1,236,No,2,80,69.51100401606426,57.84313725490196,52.0,100.0,28.85376,150.0,0,2,3,2,0,0
2025-09-19,RD-001,Ramp Road,4.08,Good,57,High,-5.4,22.1,286,No,2,80,69.51100401606426,70.09803921568627,53.0,100.0,41.11660800000001,150.0,0,2,3,0,0,0
2025-09-20,RD-001,Ramp Road,4.08,Good,39,High,-5.4,22.1,278,No,2,80,69.51100401606426,68.13725490196079,54.0,100.0,28.132416000000003,150.0,0,2,3,0,0,0
2025-09-21,RD-001,Ramp Road,4.08,Good,36,Medium,-5.4,22.1,175,No,2,80,69.51100401606426,42.8921568627451,55.0,100.0,25.968384000000004,150.0,0,2,3,2,0,0
2025-09-22,RD-001,Ramp Road,4.08,Good,18,Medium,-5.4,22.1,116,No,2,80,69.51100401606426,28.431372549019606,56.0,100.0,12.984192000000002,150.0,0,2,3,2,0,0
2025-09-23,RD-001,Ramp Road,4.08,Good,36,Medium,-5.4,22.1,160,No,2,80,69.51100401606426,39.21568627450981,57.0,100.0,25.968384000000004,150.0,0,2,3,2,0,0
2025-09-24,RD-001,Ramp Road,4.08,Good,55,Low,-5.4,22.1,55,No,2,80,69.51100401606426,13.480392156862745,58.0,100.0,39.67392,135.2217833933882,0,2,3,1,0,0
2025-09-25,RD-001,Ramp Road,4.08,Good,59,Medium,-5.4,22.1,278,No,2,80,69.51100401606426,68.13725490196079,59.0,100.0,42.559296,150.0,0,2,3,2,0,0
2025-09-26,RD-001,Ramp Road,4.08,Excellent,20,High,-5.4,22.1,161,No,1,100,79.51100401606426,39.46078431372549,60.0,100.0,18.0336,150.0,0,2,1,0,0,0
2025-09-27,RD-001,Ramp Road,4.08,Excellent,45,High,-5.4,22.1,186,No,1,100,79.51100401606426,45.588235294117645,60.0,100.0,40.5756,150.0,0,2,1,0,0,0
2025-09-28,RD-001,Ramp Road,4.08,Excellent,50,High,-5.4,22.1,55,No,1,100,79.51100401606426,13.480392156862745,60.0,100.0,45.084,119.34727888204148,0,2,1,0,0,0
2025-09-29,RD-001,Ramp Road,4.08,Excellent,20,Medium,-5.4,22.1,162,No,1,100,79.51100401606426,39.705882352941174,60.0,100.0,18.0336,150.0,0,2,1,2,0,0
2025-09-30,RD-001,Ramp Road,4.08,Excellent,16,High,-5.4,22.1,252,No,1,100,79.51100401606426,61.76470588235294,60.0,100.0,14.42688,150.0,0,2,1,0,0,0
2025-10-01,RD-001,Ramp Road,4.08,Excellent,20,Medium,-5.4,22.1,167,No,1,100,79.51100401606426,40.931372549019606,60.0,100.0,18.0336,150.0,0,2,1,2,0,0
2025-10-02,RD-001,Ramp Road,4.08,Excellent,26,High,-5.4,22.1,50,No,1,100,79.51100401606426,12.254901960784313,60.0,100.0,23.44368,150.0,0,2,1,0,0,0
