date,equipment_id,equipment_type,model,year,status,operating_hours,daily_hours_worked,fuel_consumption_lh,productivity_score,location,maintenance_cost_usd,downtime_hours,operator_id,equipment_age,utilization_rate,fuel_efficiency,maintenance_due_soon,health_score,hours_category,downtime_ratio,cumulative_hours,days_since_maintenance,equipment_id_encoded,equipment_type_encoded,model_encoded,status_encoded,location_encoded,operator_id_encoded,hours_category_encoded,failure
2025-08-26,EQ-001,Excavator,Hitachi EX1200,2018,Breakdown,5970,0,226.7,0.0,Pit C,0,2,OP-016,7,0.0,0.0,0,47.0,Low,0.08333333333333333,10,11,0,1,6,0,2,15,1,1
2025-08-27,EQ-001,Excavator,Hitachi EX1200,2018,Breakdown,6028,0,262.5,0.0,Workshop,0,1,OP-016,7,0.0,0.0,0,48.25,Low,0.041666666666666664,10,12,0,1,6,0,5,15,1,1
2025-08-28,EQ-001,Excavator,Hitachi EX1200,2018,Breakdown,6107,0,209.4,0.0,Pit C,0,2,OP-016,7,0.0,0.0,0,47.0,Low,0.08333333333333333,10,13,0,1,6,0,2,15,1,1
2025-08-29,EQ-001,Excavator,Hitachi EX1200,2018,Breakdown,6098,0,109.0,0.0,ROM,0,6,OP-016,7,0.0,0.0,1,42.0,Low,0.25,10,14,0,1,6,0,3,15,1,1
2025-08-30,EQ-001,Excavator,Hitachi EX1200,2018,Breakdown,6010,0,57.9,0.0,Pit A,0,19,OP-016,7,0.0,0.0,1,25.75,Low,0.7916666666666666,10,15,0,1,6,0,0,15,1,1
2025-08-31,EQ-001,Excavator,Hitachi EX1200,2018,Breakdown,6212,0,238.9,0.0,Workshop,0,12,OP-016,7,0.0,0.0,1,34.5,Low,0.5,10,16,0,1,6,0,5,15,1,1
2025-09-01,EQ-001,Excavator,Hitachi EX1200,2018,Breakdown,6200,0,123.9,0.0,Stockpile,0,5,OP-016,7,0.0,0.0,1,43.25,Low,0.20833333333333334,10,17,0,1,6,0,4,15,1,1
2025-09-02,EQ-001,Excavator,Hitachi EX1200,2018,Breakdown,6274,0,251.9,0.0,Workshop,0,6,OP-016,7,0.0,0.0,1,42.0,Low,0.25,10,18,0,1,6,0,5,15,1,1
2025-09-03,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6240,0,265.2,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,19,0,1,6,3,3,15,1,0
2025-09-04,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6240,0,111.0,0.0,Pit C,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,20,0,1,6,3,2,15,1,0
2025-09-05,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6028,0,113.5,0.0,Workshop,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,21,0,1,6,3,5,15,1,0
2025-09-06,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6036,0,116.7,0.0,Pit B,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,22,0,1,6,3,1,15,1,0
2025-09-07,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6090,0,220.2,0.0,Stockpile,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,23,0,1,6,3,4,15,1,0
2025-09-08,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6292,0,142.4,0.0,Pit A,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,24,0,1,6,3,0,15,1,0
2025-09-09,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6310,0,254.1,0.0,Pit A,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,25,0,1,6,3,0,15,1,0
2025-09-10,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6354,0,219.4,0.0,Pit C,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,26,0,1,6,3,2,15,1,0
2025-09-11,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6292,0,222.7,0.0,Pit B,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,27,0,1,6,3,1,15,1,0
2025-09-12,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6476,0,269.3,0.0,Pit C,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,28,0,1,6,3,2,15,1,0
2025-09-13,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6092,0,110.5,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,29,0,1,6,3,3,15,1,0
2025-09-14,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6160,0,225.1,0.0,Pit C,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,30,0,1,6,3,2,15,1,0
2025-09-15,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6108,0,90.4,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,31,0,1,6,3,3,15,1,0
2025-09-16,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6372,0,51.3,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,32,0,1,6,3,3,15,1,0
2025-09-17,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6124,0,54.5,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,33,0,1,6,3,3,15,1,0
2025-09-18,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6132,0,127.0,0.0,Workshop,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,34,0,1,6,3,5,15,1,0
2025-09-19,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6315,0,148.3,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,35,0,1,6,3,3,15,1,0
2025-09-20,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6652,0,173.1,0.0,Stockpile,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,36,0,1,6,3,4,15,1,0
2025-09-21,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6711,0,94.3,0.0,Workshop,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,37,0,1,6,3,5,15,1,0
2025-09-22,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6316,0,282.1,0.0,Pit A,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,38,0,1,6,3,0,15,1,0
2025-09-23,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6640,0,146.3,0.0,Pit A,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,39,0,1,6,3,0,15,1,0
2025-09-24,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6540,0,282.5,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,40,0,1,6,3,3,15,1,0
2025-09-25,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6598,0,123.8,0.0,Pit B,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,41,0,1,6,3,1,15,1,0
2025-09-26,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6700,0,124.1,0.0,Pit B,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,42,0,1,6,3,1,15,1,0
2025-09-27,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6548,0,207.0,0.0,Workshop,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,43,0,1,6,3,5,15,1,0
2025-09-28,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6476,0,56.9,0.0,Pit B,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,44,0,1,6,3,1,15,1,0
2025-09-29,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6850,0,295.5,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,10,45,0,1,6,3,3,15,1,0
2025-09-30,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6366,0,59.7,0.0,ROM,2491,4,OP-016,7,0.0,0.0,0,44.5,Low,0.16666666666666666,10,46,0,1,6,1,3,15,1,1
2025-10-01,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6377,0,260.5,0.0,Workshop,4142,2,OP-016,7,0.0,0.0,0,47.0,Low,0.08333333333333333,10,47,0,1,6,1,5,15,1,1
2025-10-02,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6868,0,60.3,0.0,Pit C,5177,22,OP-016,7,0.0,0.0,1,22.0,Low,0.9166666666666666,10,48,0,1,6,1,2,15,1,1
2025-10-03,EQ-001,Excavator,Hitachi EX1200,2018,Operational,6938,8,222.1,66.9,Pit B,0,0,OP-001,7,33.33333333333333,0.2998655311519498,0,76.26,Low,0.0,18,49,0,1,6,2,1,0,1,0
2025-10-04,EQ-001,Excavator,Hitachi EX1200,2018,Operational,6860,0,288.7,89.4,Stockpile,0,0,OP-022,7,0.0,0.30859509837763205,0,85.26,Low,0.0,18,50,0,1,6,2,4,21,1,0
2025-10-05,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6727,0,139.0,0.0,Stockpile,7253,13,OP-016,7,0.0,0.0,1,33.25,Low,0.5416666666666666,18,51,0,1,6,1,4,15,1,1
2025-10-06,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6484,0,168.5,0.0,Pit B,6617,15,OP-016,7,0.0,0.0,1,30.75,Low,0.625,18,52,0,1,6,1,1,15,1,1
2025-10-07,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6761,0,204.0,0.0,Stockpile,2849,19,OP-016,7,0.0,0.0,1,25.75,Low,0.7916666666666666,18,53,0,1,6,1,4,15,1,1
2025-10-08,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6508,0,221.0,0.0,Pit B,9087,19,OP-016,7,0.0,0.0,1,25.75,Low,0.7916666666666666,18,54,0,1,6,1,1,15,1,1
2025-10-09,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6410,0,255.2,0.0,Workshop,8002,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,55,0,1,6,1,5,15,1,1
2025-10-10,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,7092,0,144.3,0.0,Stockpile,8945,2,OP-016,7,0.0,0.0,0,47.0,Low,0.08333333333333333,18,56,0,1,6,1,4,15,1,1
2025-10-11,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,7057,0,253.6,0.0,Pit A,3974,3,OP-016,7,0.0,0.0,0,45.75,Low,0.125,18,57,0,1,6,1,0,15,1,1
2025-10-12,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6788,0,250.9,0.0,Pit A,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,58,0,1,6,3,0,15,1,0
2025-10-13,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6450,0,153.2,0.0,Pit B,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,59,0,1,6,3,1,15,1,0
2025-10-14,EQ-001,Excavator,Hitachi EX1200,2018,Standby,7000,0,157.2,0.0,Stockpile,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,60,0,1,6,3,4,15,1,0
2025-10-15,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6531,0,256.6,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,61,0,1,6,3,3,15,1,0
2025-10-16,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6480,0,72.8,0.0,Workshop,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,62,0,1,6,3,5,15,1,0
2025-10-17,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6616,0,72.9,0.0,Workshop,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,63,0,1,6,3,5,15,1,0
2025-10-18,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6884,0,78.4,0.0,Stockpile,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,64,0,1,6,3,4,15,1,0
2025-10-19,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6770,0,186.5,0.0,Pit C,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,65,0,1,6,3,2,15,1,0
2025-10-20,EQ-001,Excavator,Hitachi EX1200,2018,Standby,7180,0,259.6,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,66,0,1,6,3,3,15,1,0
2025-10-21,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6664,0,178.3,0.0,ROM,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,67,0,1,6,3,3,15,1,0
2025-10-22,EQ-001,Excavator,Hitachi EX1200,2018,Standby,7356,0,276.9,0.0,Stockpile,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,68,0,1,6,3,4,15,1,0
2025-10-23,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6757,0,226.3,0.0,Pit B,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,69,0,1,6,3,1,15,1,0
2025-10-24,EQ-001,Excavator,Hitachi EX1200,2018,Standby,7190,0,192.9,0.0,Workshop,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,70,0,1,6,3,5,15,1,0
2025-10-25,EQ-001,Excavator,Hitachi EX1200,2018,Standby,7280,0,109.4,0.0,Pit A,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,71,0,1,6,3,0,15,1,0
2025-10-26,EQ-001,Excavator,Hitachi EX1200,2018,Standby,6796,0,250.5,0.0,Stockpile,0,0,OP-016,7,0.0,0.0,0,49.5,Low,0.0,18,72,0,1,6,3,4,15,1,0
2025-10-27,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6736,0,60.9,0.0,Stockpile,5348,3,OP-016,7,0.0,0.0,0,45.75,Low,0.125,18,73,0,1,6,1,4,15,1,1
2025-10-28,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,7414,0,123.6,0.0,Pit A,9588,21,OP-016,7,0.0,0.0,1,23.25,Low,0.875,18,74,0,1,6,1,0,15,1,1
2025-10-29,EQ-001,Excavator,Hitachi EX1200,2018,Operational,7285,9,287.6,94.4,Workshop,0,0,OP-024,7,37.5,0.3270963270963271,0,87.26,Low,0.0,27,75,0,1,6,2,5,23,1,0
2025-10-30,EQ-001,Excavator,Hitachi EX1200,2018,Operational,7152,17,116.5,76.9,Workshop,0,0,OP-064,7,70.83333333333334,0.654468085106383,0,80.26,Low,0.0,44,76,0,1,6,2,5,63,1,0
2025-10-31,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,7092,0,127.4,0.0,Workshop,2779,15,OP-016,7,0.0,0.0,1,30.75,Low,0.625,44,77,0,1,6,1,5,15,1,1
2025-11-01,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,7654,0,195.3,0.0,Pit A,9,23,OP-016,7,0.0,0.0,1,20.75,Low,0.9583333333333334,44,78,0,1,6,1,0,15,1,1
2025-11-02,EQ-001,Excavator,Hitachi EX1200,2018,Maintenance,6887,0,252.6,0.0,Pit A,7449,21,OP-016,7,0.0,0.0,1,23.25,Low,0.875,44,79,0,1,6,1,0,15,1,1
2025-11-03,EQ-001,Excavator,Hitachi EX1200,2018,Operational,7140,2,83.5,65.5,ROM,0,0,OP-092,7,8.333333333333332,0.7751479289940828,0,75.7,Low,0.0,46,80,0,1,6,2,3,91,1,0
2025-11-04,EQ-001,Excavator,Hitachi EX1200,2018,Operational,6832,4,239.3,77.5,Stockpile,0,0,OP-078,7,16.666666666666664,0.32251352476071576,0,80.5,Low,0.0,50,81,0,1,6,2,4,77,1,0
2025-11-05,EQ-001,Excavator,Hitachi EX1200,2018,Operational,6516,16,239.2,66.5,Pit B,0,0,OP-034,7,66.66666666666666,0.27685262281432144,0,76.1,Low,0.0,66,82,0,1,6,2,1,33,1,0
2025-11-06,EQ-001,Excavator,Hitachi EX1200,2018,Operational,7437,4,72.1,91.1,Pit A,0,0,OP-047,7,16.666666666666664,1.2462380300957592,0,85.94,Low,0.0,70,83,0,1,6,2,0,46,1,0
2025-11-07,EQ-001,Excavator,Hitachi EX1200,2018,Operational,7036,5,204.3,97.4,Pit B,0,0,OP-098,7,20.833333333333336,0.4744276668290307,0,88.46000000000001,Low,0.0,75,84,0,1,6,2,1,97,1,0
2025-11-08,EQ-001,Excavator,Hitachi EX1200,2018,Operational,7220,5,162.7,95.0,ROM,0,0,OP-051,7,20.833333333333336,0.5803298717165547,0,87.5,Low,0.0,80,85,0,1,6,2,3,50,1,0
2025-11-09,EQ-001,Excavator,Hitachi EX1200,2018,Operational,6548,19,164.8,97.3,Stockpile,0,0,OP-066,7,79.16666666666666,0.5868516284680337,0,88.42,Low,0.0,99,86,0,1,6,2,4,65,1,0
2025-11-10,EQ-001,Excavator,Hitachi EX1200,2018,Operational,7252,15,88.0,69.6,Workshop,0,0,OP-004,7,62.5,0.7820224719101123,0,77.34,Low,0.0,114,87,0,1,6,2,5,3,1,0
2025-11-11,EQ-001,Excavator,Hitachi EX1200,2018,Operational,6652,18,60.2,70.6,Workshop,0,0,OP-042,7,75.0,1.15359477124183,0,77.74,Low,0.0,132,88,0,1,6,2,5,41,1,0
2025-11-12,EQ-001,Excavator,Hitachi EX1200,2018,Operational,7373,13,141.1,81.6,Stockpile,0,0,OP-027,7,54.166666666666664,0.5742434904996481,0,82.14,Low,0.0,145,89,0,1,6,2,4,26,1,0
2025-08-15,EQ-002,Excavator,CAT 390F,2023,Operational,10240,3,251.6,89.7,Stockpile,0,0,OP-052,2,12.5,0.35510688836104515,0,92.88,Medium,0.0,3,0,1,1,1,2,4,51,2,0
2025-08-16,EQ-002,Excavator,CAT 390F,2023,Operational,10254,13,165.6,89.7,ROM,0,0,OP-059,2,54.166666666666664,0.5384153661464586,0,92.88,Medium,0.0,16,1,1,1,1,2,3,58,2,0
2025-08-17,EQ-002,Excavator,CAT 390F,2023,Operational,10284,12,266.8,76.7,Pit C,0,0,OP-015,2,50.0,0.28640776699029125,0,87.68,Medium,0.0,28,2,1,1,1,2,2,14,2,0
2025-08-18,EQ-002,Excavator,CAT 390F,2023,Operational,10264,6,72.3,82.7,Pit A,0,0,OP-017,2,25.0,1.1282401091405185,0,90.08000000000001,Medium,0.0,34,3,1,1,1,2,0,16,2,0
2025-08-19,EQ-002,Excavator,CAT 390F,2023,Operational,10276,14,196.0,89.3,Pit A,0,0,OP-083,2,58.333333333333336,0.45329949238578676,0,92.72,Medium,0.0,48,4,1,1,1,2,0,82,2,0
2025-08-20,EQ-002,Excavator,CAT 390F,2023,Operational,10330,12,132.6,95.8,Stockpile,0,0,OP-022,2,50.0,0.7170658682634731,0,95.32,Medium,0.0,60,5,1,1,1,2,4,21,2,0
2025-08-21,EQ-002,Excavator,CAT 390F,2023,Operational,10366,8,70.1,82.3,Stockpile,0,0,OP-036,2,33.33333333333333,1.157524613220816,0,89.92,Medium,0.0,68,6,1,1,1,2,4,35,2,0
2025-08-22,EQ-002,Excavator,CAT 390F,2023,Operational,10394,5,293.8,81.2,ROM,0,0,OP-051,2,20.833333333333336,0.27544097693351427,0,89.48,Medium,0.0,73,7,1,1,1,2,3,50,2,0
2025-08-23,EQ-002,Excavator,CAT 390F,2023,Operational,10400,11,101.3,96.9,Workshop,0,0,OP-019,2,45.83333333333333,0.9472140762463344,0,95.76,Medium,0.0,84,8,1,1,1,2,5,18,2,0
2025-08-24,EQ-002,Excavator,CAT 390F,2023,Operational,10429,5,195.3,70.1,Workshop,0,0,OP-077,2,20.833333333333336,0.3571064696892511,0,85.03999999999999,Medium,0.0,89,9,1,1,1,2,5,76,2,0
2025-08-25,EQ-002,Excavator,CAT 390F,2023,Operational,10380,9,297.5,75.6,Pit B,0,0,OP-084,2,37.5,0.25326633165829143,0,87.24,Medium,0.0,98,10,1,1,1,2,1,83,2,0
2025-08-26,EQ-002,Excavator,CAT 390F,2023,Operational,10405,5,153.0,76.5,Pit A,0,0,OP-069,2,20.833333333333336,0.4967532467532468,0,87.6,Medium,0.0,103,11,1,1,1,2,0,68,2,0
2025-08-27,EQ-002,Excavator,CAT 390F,2023,Operational,10432,1,95.3,67.2,ROM,0,0,OP-060,2,4.166666666666666,0.6978193146417446,0,83.88,Medium,0.0,104,12,1,1,1,2,3,59,2,0
2025-08-28,EQ-002,Excavator,CAT 390F,2023,Operational,10513,2,91.1,91.9,Pit C,0,0,OP-078,2,8.333333333333332,0.9978284473398481,0,93.76,Medium,0.0,106,13,1,1,1,2,2,77,2,0
2025-08-29,EQ-002,Excavator,CAT 390F,2023,Operational,10450,7,159.8,77.4,Pit C,0,0,OP-038,2,29.166666666666668,0.48134328358208955,0,87.96000000000001,Medium,0.0,113,14,1,1,1,2,2,37,2,0
2025-08-30,EQ-002,Excavator,CAT 390F,2023,Operational,10570,1,185.9,94.9,Pit C,0,0,OP-039,2,4.166666666666666,0.5077581594435527,0,94.96000000000001,Medium,0.0,114,15,1,1,1,2,2,38,2,0
2025-08-31,EQ-002,Excavator,CAT 390F,2023,Operational,10608,19,248.5,85.5,Workshop,0,0,OP-094,2,79.16666666666666,0.342685370741483,0,91.2,Medium,0.0,133,16,1,1,1,2,5,93,2,0
2025-09-01,EQ-002,Excavator,CAT 390F,2023,Operational,10444,0,58.4,83.8,Pit B,0,0,OP-005,2,0.0,1.4107744107744107,0,90.52000000000001,Medium,0.0,133,17,1,1,1,2,1,4,2,0
2025-09-02,EQ-002,Excavator,CAT 390F,2023,Operational,10438,12,81.9,78.1,Stockpile,0,0,OP-008,2,50.0,0.942098914354644,0,88.24,Medium,0.0,145,18,1,1,1,2,4,7,2,0
2025-09-03,EQ-002,Excavator,CAT 390F,2023,Operational,10658,18,223.5,82.9,Pit C,0,0,OP-027,2,75.0,0.3692650334075724,0,90.16,Medium,0.0,163,19,1,1,1,2,2,26,2,0
2025-09-04,EQ-002,Excavator,CAT 390F,2023,Operational,10540,14,122.0,85.3,Pit B,0,0,OP-013,2,58.333333333333336,0.6934959349593496,0,91.12,Medium,0.0,177,20,1,1,1,2,1,12,2,0
2025-09-05,EQ-002,Excavator,CAT 390F,2023,Operational,10618,11,75.6,95.3,Stockpile,0,0,OP-037,2,45.83333333333333,1.2441253263707572,0,95.12,Medium,0.0,188,21,1,1,1,2,4,36,2,0
2025-09-06,EQ-002,Excavator,CAT 390F,2023,Operational,10526,18,234.1,95.8,ROM,0,0,OP-011,2,75.0,0.4074861760952786,0,95.32,Medium,0.0,206,22,1,1,1,2,3,10,2,0
2025-09-07,EQ-002,Excavator,CAT 390F,2023,Operational,10539,0,267.5,82.1,Stockpile,0,0,OP-047,2,0.0,0.30577281191806327,0,89.84,Medium,0.0,206,23,1,1,1,2,4,46,2,0
2025-09-08,EQ-002,Excavator,CAT 390F,2023,Standby,10624,0,78.6,0.0,Workshop,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,24,1,1,1,3,5,15,2,0
2025-09-09,EQ-002,Excavator,CAT 390F,2023,Standby,10465,0,279.6,0.0,Pit C,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,25,1,1,1,3,2,15,2,0
2025-09-10,EQ-002,Excavator,CAT 390F,2023,Standby,10526,0,154.7,0.0,Pit A,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,26,1,1,1,3,0,15,2,0
2025-09-11,EQ-002,Excavator,CAT 390F,2023,Standby,10564,0,178.8,0.0,Pit A,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,27,1,1,1,3,0,15,2,0
2025-09-12,EQ-002,Excavator,CAT 390F,2023,Standby,10800,0,96.1,0.0,Pit A,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,28,1,1,1,3,0,15,2,0
2025-09-13,EQ-002,Excavator,CAT 390F,2023,Standby,10849,0,101.3,0.0,Stockpile,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,29,1,1,1,3,4,15,2,0
2025-09-14,EQ-002,Excavator,CAT 390F,2023,Standby,10480,0,243.9,0.0,Pit B,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,30,1,1,1,3,1,15,2,0
2025-09-15,EQ-002,Excavator,CAT 390F,2023,Standby,10922,0,75.7,0.0,Stockpile,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,31,1,1,1,3,4,15,2,0
2025-09-16,EQ-002,Excavator,CAT 390F,2023,Standby,10528,0,152.2,0.0,Workshop,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,32,1,1,1,3,5,15,2,0
2025-09-17,EQ-002,Excavator,CAT 390F,2023,Standby,10570,0,107.8,0.0,Pit C,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,33,1,1,1,3,2,15,2,0
2025-09-18,EQ-002,Excavator,CAT 390F,2023,Standby,10580,0,213.2,0.0,Pit B,0,0,OP-016,2,0.0,0.0,0,57.0,Medium,0.0,206,34,1,1,1,3,1,15,2,0
